date,excess_deaths,country,lat,long,daylength,gdaylength
2021-01,12,Estonia,58.7523778,25.3319078,8.72410396636525,-0.0452466175776335
2021-02,8.3,Estonia,58.7523778,25.3319078,10.5354462602899,-0.0751388495701217
2021-03,29.6,Estonia,58.7523778,25.3319078,12.9662287690928,-0.0883963198764739
2021-04,26.9,Estonia,58.7523778,25.3319078,15.7927469632119,-0.0966543395701817
2021-05,13.1,Estonia,58.7523778,25.3319078,18.7602540114164,-0.0876077516852
2021-06,19.1,Estonia,58.7523778,25.3319078,20.0600036670586,0
2021-07,13.8,Estonia,58.7523778,25.3319078,19.6600769927205,0.0503360635686673
2021-08,9.3,Estonia,58.7523778,25.3319078,17.0176852068109,0.0982398424897191
2021-09,19.6,Estonia,58.7523778,25.3319078,14.0976320750574,0.0919451527445334
2021-10,25.7,Estonia,58.7523778,25.3319078,11.4422603330924,0.0809073241483247
2021-11,38.9,Estonia,58.7523778,25.3319078,9.26546047944832,0.0575992563097176
2021-12,16.3,Estonia,58.7523778,25.3319078,8.15833714772469,0.00978817979255747
2022-01,4.9,Estonia,58.7523778,25.3319078,8.72410396636525,-0.0452466175776335
2022-02,20.2,Estonia,58.7523778,25.3319078,10.5354462602899,-0.0751388495701217
2022-03,14.4,Estonia,58.7523778,25.3319078,12.9662287690928,-0.0883963198764739
2022-04,3.2,Estonia,58.7523778,25.3319078,15.7927469632119,-0.0966543395701817
2022-05,1.9,Estonia,58.7523778,25.3319078,18.7602540114164,-0.0876077516852
2022-06,15.9,Estonia,58.7523778,25.3319078,20.0600036670586,0
2022-07,11.6,Estonia,58.7523778,25.3319078,19.6600769927205,0.0503360635686673
2022-08,9,Estonia,58.7523778,25.3319078,17.0176852068109,0.0982398424897191
2022-09,14.4,Estonia,58.7523778,25.3319078,14.0976320750574,0.0919451527445334
2022-10,6.5,Estonia,58.7523778,25.3319078,11.4422603330924,0.0809073241483247
2022-11,12.4,Estonia,58.7523778,25.3319078,9.26546047944832,0.0575992563097176
2022-12,19.8,Estonia,58.7523778,25.3319078,8.15833714772469,0.00978817979255747
2023-01,10,Estonia,58.7523778,25.3319078,8.72410396636525,-0.0452466175776335
2023-02,-7.1,Estonia,58.7523778,25.3319078,10.5354462602899,-0.0751388495701217
2023-03,-5.4,Estonia,58.7523778,25.3319078,12.9662287690928,-0.0883963198764739
2023-04,5.3,Estonia,58.7523778,25.3319078,15.7927469632119,-0.0966543395701817
2023-05,0.6,Estonia,58.7523778,25.3319078,18.7602540114164,-0.0876077516852
2023-06,11.3,Estonia,58.7523778,25.3319078,20.0600036670586,0
2023-07,0.3,Estonia,58.7523778,25.3319078,19.6600769927205,0.0503360635686673
2023-08,-0.5,Estonia,58.7523778,25.3319078,17.0176852068109,0.0982398424897191
2023-09,-0.5,Estonia,58.7523778,25.3319078,14.0976320750574,0.0919451527445334
2020-01,-9.2,Ireland,52.865196,-7.9794599,9.50820458125244,-0.0347957892640514
2020-02,-1.8,Ireland,52.865196,-7.9794599,10.9547992125297,-0.0597808981902987
2020-03,3.6,Ireland,52.865196,-7.9794599,12.9327787658509,-0.0707404114890336
2020-04,38,Ireland,52.865196,-7.9794599,15.1555120204811,-0.0736717289134604
2020-05,7.1,Ireland,52.865196,-7.9794599,17.2725659801769,-0.0603845676483786
2020-06,-4.5,Ireland,52.865196,-7.9794599,18.4906654191506,-0.01102105393204
2020-07,-3.2,Ireland,52.865196,-7.9794599,17.8786710156224,0.048604586669043
2020-08,1.9,Ireland,52.865196,-7.9794599,15.925647385515,0.0721272285583534
2020-09,0,Ireland,52.865196,-7.9794599,13.6888131553584,0.0725639102047737
2020-10,5.5,Ireland,52.865196,-7.9794599,11.580620773024,0.0640960440997719
2020-11,-2.5,Ireland,52.865196,-7.9794599,9.88184952389124,0.0438012449956207
2020-12,-7.5,Ireland,52.865196,-7.9794599,9.06838114673479,0.00603336290041001
2021-01,21.4,Ireland,52.865196,-7.9794599,9.50820458125244,-0.0347957892640514
2021-02,17.7,Ireland,52.865196,-7.9794599,10.9237435442235,-0.0595431578809191
2021-03,-4.8,Ireland,52.865196,-7.9794599,12.8622676400901,-0.0705111257608635
2021-04,-0.2,Ireland,52.865196,-7.9794599,15.0817756823995,-0.0737363380815968
2021-05,6.2,Ireland,52.865196,-7.9794599,17.2112601837479,-0.0613057964290594
2021-06,0.5,Ireland,52.865196,-7.9794599,18.4774856552437,-0.0131797639068705
2021-07,10.1,Ireland,52.865196,-7.9794599,17.9258425847443,0.0471715691218277
2021-08,11.7,Ireland,52.865196,-7.9794599,15.9975102860267,0.071862900511703
2021-09,12.5,Ireland,52.865196,-7.9794599,13.7615253313795,0.0727121760210383
2021-10,14.2,Ireland,52.865196,-7.9794599,11.6451358700107,0.0645150969867589
2021-11,16.3,Ireland,52.865196,-7.9794599,9.92659719246145,0.0447476685702092
2021-12,5.8,Ireland,52.865196,-7.9794599,9.07628623377871,0.00741787149860873
2022-01,-4.2,Ireland,52.865196,-7.9794599,9.50820458125244,-0.0347957892640514
2022-02,2.7,Ireland,52.865196,-7.9794599,10.9237435442235,-0.0595431578809191
2022-03,7,Ireland,52.865196,-7.9794599,12.8622676400901,-0.0705111257608635
2022-04,19.2,Ireland,52.865196,-7.9794599,15.0817756823995,-0.0737363380815968
2022-05,13.4,Ireland,52.865196,-7.9794599,17.2112601837479,-0.0613057964290594
2022-06,12.2,Ireland,52.865196,-7.9794599,18.4774856552437,-0.0131797639068705
2022-07,16.4,Ireland,52.865196,-7.9794599,17.9258425847443,0.0471715691218277
2022-08,16.9,Ireland,52.865196,-7.9794599,15.9975102860267,0.071862900511703
2022-09,11.2,Ireland,52.865196,-7.9794599,13.7615253313795,0.0727121760210383
2022-10,15.7,Ireland,52.865196,-7.9794599,11.6451358700107,0.0645150969867589
2022-11,15.5,Ireland,52.865196,-7.9794599,9.92659719246145,0.0447476685702092
2022-12,25.7,Ireland,52.865196,-7.9794599,9.07628623377871,0.00741787149860873
2023-01,15.4,Ireland,52.865196,-7.9794599,9.50820458125244,-0.0347957892640514
2023-02,0.8,Ireland,52.865196,-7.9794599,10.9237435442235,-0.0595431578809191
2023-03,9.2,Ireland,52.865196,-7.9794599,12.8622676400901,-0.0705111257608635
2023-04,12.2,Ireland,52.865196,-7.9794599,15.0817756823995,-0.0737363380815968
2023-05,13.3,Ireland,52.865196,-7.9794599,17.2112601837479,-0.0613057964290594
2023-06,14,Ireland,52.865196,-7.9794599,18.4774856552437,-0.0131797639068705
2023-07,13.7,Ireland,52.865196,-7.9794599,17.9258425847443,0.0471715691218277
2023-08,21.3,Ireland,52.865196,-7.9794599,15.9975102860267,0.071862900511703
2023-09,12.5,Ireland,52.865196,-7.9794599,13.7615253313795,0.0727121760210383
2020-01,0.3,Greece,43.2097838,-77.6930602,10.4139937820626,-0.0238283154531563
2020-02,6.1,Greece,43.2097838,-77.6930602,11.4185266949299,-0.0420214331206744
2020-03,7.2,Greece,43.2097838,-77.6930602,12.8176728380428,-0.0500853048694956
2020-04,0.9,Greece,43.2097838,-77.6930602,14.3724454986309,-0.0504228506910483
2020-05,3,Greece,43.2097838,-77.6930602,15.768877910165,-0.0378786442749739
2020-06,-1.9,Greece,43.2097838,-77.6930602,16.505748287413,-0.00638137350461011
2020-07,5.2,Greece,43.2097838,-77.6930602,16.1429355913144,0.0294760296665112
2020-08,6.1,Greece,43.2097838,-77.6930602,14.8937195559534,0.0482889079543279
2020-09,9.9,Greece,43.2097838,-77.6930602,13.3518169506163,0.051112062557075
2020-10,3.8,Greece,43.2097838,-77.6930602,11.8598337177202,0.0452939587187879
2020-11,27.6,Greece,43.2097838,-77.6930602,10.6707840758023,0.0302194259888846
2020-12,19.5,Greece,43.2097838,-77.6930602,10.1145906196857,0.00408305698738115
2021-01,-7.8,Greece,43.2097838,-77.6930602,10.4139937820626,-0.0238283154531563
2021-02,-2.8,Greece,43.2097838,-77.6930602,11.3966297497736,-0.0418401563188803
2021-03,16.1,Greece,43.2097838,-77.6930602,12.7677344779628,-0.0499383600800475
2021-04,24.8,Greece,43.2097838,-77.6930602,14.3218791413371,-0.0505663572937934
2021-05,21.4,Greece,43.2097838,-77.6930602,15.7302892063927,-0.0385887037722752
2021-06,12.8,Greece,43.2097838,-77.6930602,16.4981099575162,-0.00763832989679866
2021-07,21.3,Greece,43.2097838,-77.6930602,16.171452314718,0.0285167234036264
2021-08,34.3,Greece,43.2097838,-77.6930602,14.9417056419873,0.0479860860339301
2021-09,24.9,Greece,43.2097838,-77.6930602,13.4029918060761,0.0511748554597464
2021-10,18,Greece,43.2097838,-77.6930602,11.905444267567,0.0456105498467472
2021-11,31.3,Greece,43.2097838,-77.6930602,10.701685267464,0.0309011916617579
2021-12,32.3,Greece,43.2097838,-77.6930602,10.1199400118265,0.00502087448148592
2022-01,19.9,Greece,43.2097838,-77.6930602,10.4139937820626,-0.0238283154531563
2022-02,20.2,Greece,43.2097838,-77.6930602,11.3966297497736,-0.0418401563188803
2022-03,24.9,Greece,43.2097838,-77.6930602,12.7677344779628,-0.0499383600800475
2022-04,21.4,Greece,43.2097838,-77.6930602,14.3218791413371,-0.0505663572937934
2022-05,12.7,Greece,43.2097838,-77.6930602,15.7302892063927,-0.0385887037722752
2022-06,6.8,Greece,43.2097838,-77.6930602,16.4981099575162,-0.00763832989679866
2022-07,23.3,Greece,43.2097838,-77.6930602,16.171452314718,0.0285167234036264
2022-08,18.8,Greece,43.2097838,-77.6930602,14.9417056419873,0.0479860860339301
2022-09,10.8,Greece,43.2097838,-77.6930602,13.4029918060761,0.0511748554597464
2022-10,7.2,Greece,43.2097838,-77.6930602,11.905444267567,0.0456105498467472
2022-11,9.6,Greece,43.2097838,-77.6930602,10.701685267464,0.0309011916617579
2022-12,10.7,Greece,43.2097838,-77.6930602,10.1199400118265,0.00502087448148592
2023-01,4.6,Greece,43.2097838,-77.6930602,10.4139937820626,-0.0238283154531563
2023-02,7.7,Greece,43.2097838,-77.6930602,11.3966297497736,-0.0418401563188803
2023-03,4.7,Greece,43.2097838,-77.6930602,12.7677344779628,-0.0499383600800475
2023-04,2.9,Greece,43.2097838,-77.6930602,14.3218791413371,-0.0505663572937934
2023-05,5.3,Greece,43.2097838,-77.6930602,15.7302892063927,-0.0385887037722752
2023-06,-2.9,Greece,43.2097838,-77.6930602,16.4981099575162,-0.00763832989679866
2023-07,17.3,Greece,43.2097838,-77.6930602,16.171452314718,0.0285167234036264
2023-08,5.2,Greece,43.2097838,-77.6930602,14.9417056419873,0.0479860860339301
2023-09,12,Greece,43.2097838,-77.6930602,13.4029918060761,0.0511748554597464
2020-01,-4.8,Spain,39.3260685,-4.8379791,10.7029988947096,-0.0205491942861593
2020-02,-2.7,Spain,39.3260685,-4.8379791,11.5724443267612,-0.036490666718109
2020-03,54.3,Spain,39.3260685,-4.8379791,12.7899968151557,-0.043621139716147
2020-04,80.8,Spain,39.3260685,-4.8379791,14.1411306158868,-0.0436307865082321
2020-05,5.5,Spain,39.3260685,-4.8379791,15.3410405244611,-0.0322496397915371
